Wire:1, Value:0, Discovered faults:['1_s-a-1'] 
Wire:8, Value:0, Discovered faults:['8_s-a-1'] 
Wire:15, Value:1, Discovered faults:['15_s-a-0'] 
Wire:22, Value:0, Discovered faults:['22_s-a-1'] 
Wire:29, Value:0, Discovered faults:['29_s-a-1'] 
Wire:36, Value:1, Discovered faults:['36_s-a-0'] 
Wire:43, Value:1, Discovered faults:['43_s-a-0'] 
Wire:50, Value:0, Discovered faults:['50_s-a-1'] 
Wire:57, Value:1, Discovered faults:['57_s-a-0'] 
Wire:64, Value:1, Discovered faults:['64_s-a-0'] 
Wire:71, Value:1, Discovered faults:['71_s-a-0'] 
Wire:78, Value:1, Discovered faults:['78_s-a-0'] 
Wire:85, Value:0, Discovered faults:['85_s-a-1'] 
Wire:92, Value:0, Discovered faults:['92_s-a-1'] 
Wire:99, Value:0, Discovered faults:['99_s-a-1'] 
Wire:106, Value:0, Discovered faults:['106_s-a-1'] 
Wire:113, Value:1, Discovered faults:['113_s-a-0'] 
Wire:120, Value:0, Discovered faults:['120_s-a-1'] 
Wire:127, Value:0, Discovered faults:['127_s-a-1'] 
Wire:134, Value:0, Discovered faults:['134_s-a-1'] 
Wire:141, Value:0, Discovered faults:['141_s-a-1'] 
Wire:148, Value:0, Discovered faults:['148_s-a-1'] 
Wire:155, Value:0, Discovered faults:['155_s-a-1'] 
Wire:162, Value:0, Discovered faults:['162_s-a-1'] 
Wire:169, Value:0, Discovered faults:['169_s-a-1'] 
Wire:176, Value:1, Discovered faults:['176_s-a-0'] 
Wire:183, Value:0, Discovered faults:['183_s-a-1'] 
Wire:190, Value:1, Discovered faults:['190_s-a-0'] 
Wire:197, Value:0, Discovered faults:['197_s-a-1'] 
Wire:204, Value:0, Discovered faults:['204_s-a-1'] 
Wire:211, Value:0, Discovered faults:['211_s-a-1'] 
Wire:218, Value:1, Discovered faults:['218_s-a-0'] 
Wire:225, Value:1, Discovered faults:['225_s-a-0'] 
Wire:226, Value:1, Discovered faults:['226_s-a-0'] 
Wire:227, Value:1, Discovered faults:['227_s-a-0'] 
Wire:228, Value:1, Discovered faults:['228_s-a-0'] 
Wire:229, Value:0, Discovered faults:['229_s-a-1'] 
Wire:230, Value:0, Discovered faults:['230_s-a-1'] 
Wire:231, Value:1, Discovered faults:['231_s-a-0'] 
Wire:232, Value:1, Discovered faults:['232_s-a-0'] 
Wire:233, Value:0, Discovered faults:['233_s-a-1'] 
Wire:1_1, Value:0, Discovered faults:['1_1_s-a-1', '1_s-a-1'] 
Wire:1_2, Value:0, Discovered faults:['1_2_s-a-1', '1_s-a-1'] 
Wire:1_3, Value:0, Discovered faults:['1_3_s-a-1', '1_s-a-1'] 
Wire:1_4, Value:0, Discovered faults:['1_4_s-a-1', '1_s-a-1'] 
Wire:1_5, Value:0, Discovered faults:['1_5_s-a-1', '1_s-a-1'] 
Wire:1_6, Value:0, Discovered faults:['1_6_s-a-1', '1_s-a-1'] 
Wire:8_1, Value:0, Discovered faults:['8_1_s-a-1', '8_s-a-1'] 
Wire:8_2, Value:0, Discovered faults:['8_2_s-a-1', '8_s-a-1'] 
Wire:8_3, Value:0, Discovered faults:['8_3_s-a-1', '8_s-a-1'] 
Wire:8_4, Value:0, Discovered faults:['8_4_s-a-1', '8_s-a-1'] 
Wire:8_5, Value:0, Discovered faults:['8_5_s-a-1', '8_s-a-1'] 
Wire:8_6, Value:0, Discovered faults:['8_6_s-a-1', '8_s-a-1'] 
Wire:15_1, Value:1, Discovered faults:['15_1_s-a-0', '15_s-a-0'] 
Wire:15_2, Value:1, Discovered faults:['15_2_s-a-0', '15_s-a-0'] 
Wire:15_3, Value:1, Discovered faults:['15_3_s-a-0', '15_s-a-0'] 
Wire:15_4, Value:1, Discovered faults:['15_4_s-a-0', '15_s-a-0'] 
Wire:15_5, Value:1, Discovered faults:['15_5_s-a-0', '15_s-a-0'] 
Wire:15_6, Value:1, Discovered faults:['15_6_s-a-0', '15_s-a-0'] 
Wire:22_1, Value:0, Discovered faults:['22_1_s-a-1', '22_s-a-1'] 
Wire:22_2, Value:0, Discovered faults:['22_2_s-a-1', '22_s-a-1'] 
Wire:22_3, Value:0, Discovered faults:['22_3_s-a-1', '22_s-a-1'] 
Wire:22_4, Value:0, Discovered faults:['22_4_s-a-1', '22_s-a-1'] 
Wire:22_5, Value:0, Discovered faults:['22_5_s-a-1', '22_s-a-1'] 
Wire:22_6, Value:0, Discovered faults:['22_6_s-a-1', '22_s-a-1'] 
Wire:29_1, Value:0, Discovered faults:['29_1_s-a-1', '29_s-a-1'] 
Wire:29_2, Value:0, Discovered faults:['29_2_s-a-1', '29_s-a-1'] 
Wire:29_3, Value:0, Discovered faults:['29_3_s-a-1', '29_s-a-1'] 
Wire:29_4, Value:0, Discovered faults:['29_4_s-a-1', '29_s-a-1'] 
