Wire:1, Value:1, Discovered faults:{'1_s-a-0'} 
Wire:13, Value:0, Discovered faults:{'13_s-a-1'} 
Wire:20, Value:0, Discovered faults:{'20_s-a-1'} 
Wire:33, Value:1, Discovered faults:{'33_s-a-0'} 
Wire:41, Value:0, Discovered faults:{'41_s-a-1'} 
Wire:45, Value:0, Discovered faults:{'45_s-a-1'} 
Wire:50, Value:0, Discovered faults:{'50_s-a-1'} 
Wire:58, Value:1, Discovered faults:{'58_s-a-0'} 
Wire:68, Value:0, Discovered faults:{'68_s-a-1'} 
Wire:77, Value:0, Discovered faults:{'77_s-a-1'} 
Wire:87, Value:1, Discovered faults:{'87_s-a-0'} 
Wire:97, Value:0, Discovered faults:{'97_s-a-1'} 
Wire:107, Value:0, Discovered faults:{'107_s-a-1'} 
Wire:116, Value:1, Discovered faults:{'116_s-a-0'} 
Wire:124, Value:1, Discovered faults:{'124_s-a-0'} 
Wire:125, Value:0, Discovered faults:{'125_s-a-1'} 
Wire:128, Value:1, Discovered faults:{'128_s-a-0'} 
Wire:132, Value:0, Discovered faults:{'132_s-a-1'} 
Wire:137, Value:1, Discovered faults:{'137_s-a-0'} 
Wire:143, Value:0, Discovered faults:{'143_s-a-1'} 
Wire:150, Value:1, Discovered faults:{'150_s-a-0'} 
Wire:159, Value:1, Discovered faults:{'159_s-a-0'} 
Wire:169, Value:1, Discovered faults:{'169_s-a-0'} 
Wire:179, Value:1, Discovered faults:{'179_s-a-0'} 
Wire:190, Value:0, Discovered faults:{'190_s-a-1'} 
Wire:200, Value:1, Discovered faults:{'200_s-a-0'} 
Wire:213, Value:0, Discovered faults:{'213_s-a-1'} 
Wire:222, Value:1, Discovered faults:{'222_s-a-0'} 
Wire:223, Value:0, Discovered faults:{'223_s-a-1'} 
Wire:226, Value:0, Discovered faults:{'226_s-a-1'} 
Wire:232, Value:1, Discovered faults:{'232_s-a-0'} 
Wire:238, Value:1, Discovered faults:{'238_s-a-0'} 
Wire:244, Value:1, Discovered faults:{'244_s-a-0'} 
Wire:250, Value:0, Discovered faults:{'250_s-a-1'} 
Wire:257, Value:0, Discovered faults:{'257_s-a-1'} 
Wire:264, Value:1, Discovered faults:{'264_s-a-0'} 
Wire:270, Value:1, Discovered faults:{'270_s-a-0'} 
Wire:274, Value:0, Discovered faults:{'274_s-a-1'} 
Wire:283, Value:1, Discovered faults:{'283_s-a-0'} 
Wire:294, Value:0, Discovered faults:{'294_s-a-1'} 
Wire:303, Value:0, Discovered faults:{'303_s-a-1'} 
Wire:311, Value:1, Discovered faults:{'311_s-a-0'} 
Wire:317, Value:0, Discovered faults:{'317_s-a-1'} 
Wire:322, Value:0, Discovered faults:{'322_s-a-1'} 
Wire:326, Value:1, Discovered faults:{'326_s-a-0'} 
Wire:329, Value:0, Discovered faults:{'329_s-a-1'} 
Wire:330, Value:0, Discovered faults:{'330_s-a-1'} 
Wire:343, Value:0, Discovered faults:{'343_s-a-1'} 
Wire:349, Value:0, Discovered faults:{'349_s-a-1'} 
Wire:350, Value:0, Discovered faults:{'350_s-a-1'} 
Wire:1_1, Value:1, Discovered faults:{'1_s-a-0', '1_1_s-a-0'} 
Wire:1_2, Value:1, Discovered faults:{'1_s-a-0', '1_2_s-a-0'} 
Wire:1_3, Value:1, Discovered faults:{'1_s-a-0', '1_3_s-a-0'} 
Wire:1_4, Value:1, Discovered faults:{'1_s-a-0', '1_4_s-a-0'} 
Wire:1_5, Value:1, Discovered faults:{'1_s-a-0', '1_5_s-a-0'} 
Wire:1_6, Value:1, Discovered faults:{'1_6_s-a-0', '1_s-a-0'} 
Wire:1_7, Value:1, Discovered faults:{'1_7_s-a-0', '1_s-a-0'} 
Wire:1_8, Value:1, Discovered faults:{'1_8_s-a-0', '1_s-a-0'} 
Wire:1_9, Value:1, Discovered faults:{'1_9_s-a-0', '1_s-a-0'} 
Wire:1_10, Value:1, Discovered faults:{'1_10_s-a-0', '1_s-a-0'} 
Wire:1_11, Value:1, Discovered faults:{'1_s-a-0', '1_11_s-a-0'} 
Wire:13_1, Value:0, Discovered faults:{'13_1_s-a-1', '13_s-a-1'} 
Wire:13_2, Value:0, Discovered faults:{'13_2_s-a-1', '13_s-a-1'} 
Wire:13_3, Value:0, Discovered faults:{'13_3_s-a-1', '13_s-a-1'} 
Wire:13_4, Value:0, Discovered faults:{'13_4_s-a-1', '13_s-a-1'} 
Wire:13_5, Value:0, Discovered faults:{'13_5_s-a-1', '13_s-a-1'} 
Wire:13_6, Value:0, Discovered faults:{'13_6_s-a-1', '13_s-a-1'} 
Wire:20_1, Value:0, Discovered faults:{'20_1_s-a-1', '20_s-a-1'} 
Wire:20_2, Value:0, Discovered faults:{'20_2_s-a-1', '20_s-a-1'} 
Wire:20_3, Value:0, Discovered faults:{'20_s-a-1', '20_3_s-a-1'} 
Wire:20_4, Value:0, Discovered faults:{'20_4_s-a-1', '20_s-a-1'} 
Wire:20_5, Value:0, Discovered faults:{'20_5_s-a-1', '20_s-a-1'} 
Wire:20_6, Value:0, Discovered faults:{'20_6_s-a-1', '20_s-a-1'} 
Wire:20_7, Value:0, Discovered faults:{'20_7_s-a-1', '20_s-a-1'} 
Wire:20_8, Value:0, Discovered faults:{'20_8_s-a-1', '20_s-a-1'} 
Wire:20_9, Value:0, Discovered faults:{'20_s-a-1', '20_9_s-a-1'} 
Wire:20_10, Value:0, Discovered faults:{'20_s-a-1', '20_10_s-a-1'} 
Wire:20_11, Value:0, Discovered faults:{'20_11_s-a-1', '20_s-a-1'} 
Wire:20_12, Value:0, Discovered faults:{'20_12_s-a-1', '20_s-a-1'} 
Wire:33_1, Value:1, Discovered faults:{'33_s-a-0', '33_1_s-a-0'} 
Wire:33_2, Value:1, Discovered faults:{'33_s-a-0', '33_2_s-a-0'} 
Wire:33_3, Value:1, Discovered faults:{'33_s-a-0', '33_3_s-a-0'} 
Wire:33_4, Value:1, Discovered faults:{'33_s-a-0', '33_4_s-a-0'} 
Wire:33_5, Value:1, Discovered faults:{'33_5_s-a-0', '33_s-a-0'} 
Wire:33_6, Value:1, Discovered faults:{'33_s-a-0', '33_6_s-a-0'} 
Wire:33_7, Value:1, Discovered faults:{'33_s-a-0', '33_7_s-a-0'} 
Wire:41_1, Value:0, Discovered faults:{'41_s-a-1', '41_1_s-a-1'} 
Wire:41_2, Value:0, Discovered faults:{'41_s-a-1', '41_2_s-a-1'} 
Wire:41_3, Value:0, Discovered faults:{'41_s-a-1', '41_3_s-a-1'} 
Wire:45_1, Value:0, Discovered faults:{'45_s-a-1', '45_1_s-a-1'} 
Wire:45_2, Value:0, Discovered faults:{'45_s-a-1', '45_2_s-a-1'} 
Wire:45_3, Value:0, Discovered faults:{'45_s-a-1', '45_3_s-a-1'} 
Wire:45_4, Value:0, Discovered faults:{'45_4_s-a-1', '45_s-a-1'} 
Wire:50_1, Value:0, Discovered faults:{'50_s-a-1', '50_1_s-a-1'} 
Wire:50_2, Value:0, Discovered faults:{'50_s-a-1', '50_2_s-a-1'} 
Wire:50_3, Value:0, Discovered faults:{'50_s-a-1', '50_3_s-a-1'} 
Wire:50_4, Value:0, Discovered faults:{'50_s-a-1', '50_4_s-a-1'} 
Wire:50_5, Value:0, Discovered faults:{'50_s-a-1', '50_5_s-a-1'} 
Wire:50_6, Value:0, Discovered faults:{'50_s-a-1', '50_6_s-a-1'} 
Wire:50_7, Value:0, Discovered faults:{'50_s-a-1', '50_7_s-a-1'} 
Wire:58_1, Value:1, Discovered faults:{'58_s-a-0', '58_1_s-a-0'} 
Wire:58_2, Value:1, Discovered faults:{'58_2_s-a-0', '58_s-a-0'} 
Wire:58_3, Value:1, Discovered faults:{'58_3_s-a-0', '58_s-a-0'} 
Wire:58_4, Value:1, Discovered faults:{'58_s-a-0', '58_4_s-a-0'} 
Wire:58_5, Value:1, Discovered faults:{'58_s-a-0', '58_5_s-a-0'} 
Wire:58_6, Value:1, Discovered faults:{'58_6_s-a-0', '58_s-a-0'} 
Wire:58_7, Value:1, Discovered faults:{'58_7_s-a-0', '58_s-a-0'} 
Wire:58_8, Value:1, Discovered faults:{'58_8_s-a-0', '58_s-a-0'} 
Wire:58_9, Value:1, Discovered faults:{'58_9_s-a-0', '58_s-a-0'} 
Wire:68_1, Value:0, Discovered faults:{'68_s-a-1', '68_1_s-a-1'} 
Wire:68_2, Value:0, Discovered faults:{'68_2_s-a-1', '68_s-a-1'} 
