Wire:1, Value:0, Discovered faults:{'1_s-a-1'} 
Wire:5, Value:1, Discovered faults:{'5_s-a-0'} 
Wire:9, Value:0, Discovered faults:{'9_s-a-1'} 
Wire:13, Value:1, Discovered faults:{'13_s-a-0'} 
Wire:17, Value:1, Discovered faults:{'17_s-a-0'} 
Wire:21, Value:1, Discovered faults:{'21_s-a-0'} 
Wire:25, Value:1, Discovered faults:{'25_s-a-0'} 
Wire:29, Value:1, Discovered faults:{'29_s-a-0'} 
Wire:33, Value:1, Discovered faults:{'33_s-a-0'} 
Wire:37, Value:1, Discovered faults:{'37_s-a-0'} 
Wire:41, Value:1, Discovered faults:{'41_s-a-0'} 
Wire:45, Value:0, Discovered faults:{'45_s-a-1'} 
Wire:49, Value:1, Discovered faults:{'49_s-a-0'} 
Wire:53, Value:0, Discovered faults:{'53_s-a-1'} 
Wire:57, Value:1, Discovered faults:{'57_s-a-0'} 
Wire:61, Value:1, Discovered faults:{'61_s-a-0'} 
Wire:65, Value:1, Discovered faults:{'65_s-a-0'} 
Wire:69, Value:1, Discovered faults:{'69_s-a-0'} 
Wire:73, Value:0, Discovered faults:{'73_s-a-1'} 
Wire:77, Value:1, Discovered faults:{'77_s-a-0'} 
Wire:81, Value:1, Discovered faults:{'81_s-a-0'} 
Wire:85, Value:0, Discovered faults:{'85_s-a-1'} 
Wire:89, Value:0, Discovered faults:{'89_s-a-1'} 
Wire:93, Value:1, Discovered faults:{'93_s-a-0'} 
Wire:97, Value:1, Discovered faults:{'97_s-a-0'} 
Wire:101, Value:1, Discovered faults:{'101_s-a-0'} 
Wire:105, Value:1, Discovered faults:{'105_s-a-0'} 
Wire:109, Value:1, Discovered faults:{'109_s-a-0'} 
Wire:113, Value:0, Discovered faults:{'113_s-a-1'} 
Wire:117, Value:1, Discovered faults:{'117_s-a-0'} 
Wire:121, Value:0, Discovered faults:{'121_s-a-1'} 
Wire:125, Value:1, Discovered faults:{'125_s-a-0'} 
Wire:129, Value:1, Discovered faults:{'129_s-a-0'} 
Wire:130, Value:1, Discovered faults:{'130_s-a-0'} 
Wire:131, Value:1, Discovered faults:{'131_s-a-0'} 
Wire:132, Value:1, Discovered faults:{'132_s-a-0'} 
Wire:133, Value:0, Discovered faults:{'133_s-a-1'} 
Wire:134, Value:1, Discovered faults:{'134_s-a-0'} 
Wire:135, Value:1, Discovered faults:{'135_s-a-0'} 
Wire:136, Value:1, Discovered faults:{'136_s-a-0'} 
Wire:137, Value:0, Discovered faults:{'137_s-a-1'} 
Wire:1_1, Value:0, Discovered faults:{'1_1_s-a-1', '1_s-a-1'} 
Wire:1_2, Value:0, Discovered faults:{'1_2_s-a-1', '1_s-a-1'} 
Wire:1_3, Value:0, Discovered faults:{'1_3_s-a-1', '1_s-a-1'} 
Wire:5_1, Value:1, Discovered faults:{'5_s-a-0', '5_1_s-a-0'} 
Wire:5_2, Value:1, Discovered faults:{'5_2_s-a-0', '5_s-a-0'} 
Wire:5_3, Value:1, Discovered faults:{'5_3_s-a-0', '5_s-a-0'} 
Wire:9_1, Value:0, Discovered faults:{'9_s-a-1', '9_1_s-a-1'} 
Wire:9_2, Value:0, Discovered faults:{'9_s-a-1', '9_2_s-a-1'} 
Wire:9_3, Value:0, Discovered faults:{'9_s-a-1', '9_3_s-a-1'} 
Wire:13_1, Value:1, Discovered faults:{'13_s-a-0', '13_1_s-a-0'} 
Wire:13_2, Value:1, Discovered faults:{'13_s-a-0', '13_2_s-a-0'} 
Wire:13_3, Value:1, Discovered faults:{'13_s-a-0', '13_3_s-a-0'} 
Wire:17_1, Value:1, Discovered faults:{'17_1_s-a-0', '17_s-a-0'} 
Wire:17_2, Value:1, Discovered faults:{'17_2_s-a-0', '17_s-a-0'} 
Wire:17_3, Value:1, Discovered faults:{'17_s-a-0', '17_3_s-a-0'} 
Wire:21_1, Value:1, Discovered faults:{'21_s-a-0', '21_1_s-a-0'} 
Wire:21_2, Value:1, Discovered faults:{'21_s-a-0', '21_2_s-a-0'} 
Wire:21_3, Value:1, Discovered faults:{'21_s-a-0', '21_3_s-a-0'} 
Wire:25_1, Value:1, Discovered faults:{'25_s-a-0', '25_1_s-a-0'} 
Wire:25_2, Value:1, Discovered faults:{'25_s-a-0', '25_2_s-a-0'} 
Wire:25_3, Value:1, Discovered faults:{'25_s-a-0', '25_3_s-a-0'} 
Wire:29_1, Value:1, Discovered faults:{'29_1_s-a-0', '29_s-a-0'} 
Wire:29_2, Value:1, Discovered faults:{'29_2_s-a-0', '29_s-a-0'} 
Wire:29_3, Value:1, Discovered faults:{'29_3_s-a-0', '29_s-a-0'} 
Wire:33_1, Value:1, Discovered faults:{'33_s-a-0', '33_1_s-a-0'} 
Wire:33_2, Value:1, Discovered faults:{'33_s-a-0', '33_2_s-a-0'} 
Wire:33_3, Value:1, Discovered faults:{'33_s-a-0', '33_3_s-a-0'} 
Wire:37_1, Value:1, Discovered faults:{'37_s-a-0', '37_1_s-a-0'} 
