Wire:1, Value:1, Discovered faults:{'1_s-a-0'} 
Wire:5, Value:1, Discovered faults:{'5_s-a-0'} 
Wire:9, Value:1, Discovered faults:{'9_s-a-0'} 
Wire:12, Value:0, Discovered faults:{'12_s-a-1'} 
Wire:15, Value:1, Discovered faults:{'15_s-a-0'} 
Wire:18, Value:0, Discovered faults:{'18_s-a-1'} 
Wire:23, Value:0, Discovered faults:{'23_s-a-1'} 
Wire:26, Value:1, Discovered faults:{'26_s-a-0'} 
Wire:29, Value:0, Discovered faults:{'29_s-a-1'} 
Wire:32, Value:1, Discovered faults:{'32_s-a-0'} 
Wire:35, Value:0, Discovered faults:{'35_s-a-1'} 
Wire:38, Value:0, Discovered faults:{'38_s-a-1'} 
Wire:41, Value:1, Discovered faults:{'41_s-a-0'} 
Wire:44, Value:0, Discovered faults:{'44_s-a-1'} 
Wire:47, Value:1, Discovered faults:{'47_s-a-0'} 
Wire:50, Value:0, Discovered faults:{'50_s-a-1'} 
Wire:53, Value:1, Discovered faults:{'53_s-a-0'} 
Wire:54, Value:0, Discovered faults:{'54_s-a-1'} 
Wire:55, Value:0, Discovered faults:{'55_s-a-1'} 
Wire:56, Value:0, Discovered faults:{'56_s-a-1'} 
Wire:57, Value:1, Discovered faults:{'57_s-a-0'} 
Wire:58, Value:0, Discovered faults:{'58_s-a-1'} 
Wire:59, Value:1, Discovered faults:{'59_s-a-0'} 
Wire:60, Value:1, Discovered faults:{'60_s-a-0'} 
Wire:61, Value:1, Discovered faults:{'61_s-a-0'} 
Wire:62, Value:1, Discovered faults:{'62_s-a-0'} 
Wire:63, Value:0, Discovered faults:{'63_s-a-1'} 
Wire:64, Value:0, Discovered faults:{'64_s-a-1'} 
Wire:65, Value:0, Discovered faults:{'65_s-a-1'} 
Wire:66, Value:0, Discovered faults:{'66_s-a-1'} 
Wire:69, Value:1, Discovered faults:{'69_s-a-0'} 
Wire:70, Value:0, Discovered faults:{'70_s-a-1'} 
Wire:73, Value:0, Discovered faults:{'73_s-a-1'} 
Wire:74, Value:0, Discovered faults:{'74_s-a-1'} 
Wire:75, Value:0, Discovered faults:{'75_s-a-1'} 
Wire:76, Value:1, Discovered faults:{'76_s-a-0'} 
Wire:77, Value:1, Discovered faults:{'77_s-a-0'} 
Wire:78, Value:1, Discovered faults:{'78_s-a-0'} 
Wire:79, Value:1, Discovered faults:{'79_s-a-0'} 
Wire:80, Value:1, Discovered faults:{'80_s-a-0'} 
Wire:81, Value:0, Discovered faults:{'81_s-a-1'} 
Wire:82, Value:0, Discovered faults:{'82_s-a-1'} 
Wire:83, Value:0, Discovered faults:{'83_s-a-1'} 
Wire:84, Value:1, Discovered faults:{'84_s-a-0'} 
Wire:85, Value:0, Discovered faults:{'85_s-a-1'} 
Wire:86, Value:1, Discovered faults:{'86_s-a-0'} 
Wire:87, Value:0, Discovered faults:{'87_s-a-1'} 
Wire:88, Value:0, Discovered faults:{'88_s-a-1'} 
Wire:89, Value:0, Discovered faults:{'89_s-a-1'} 
Wire:94, Value:1, Discovered faults:{'94_s-a-0'} 
Wire:97, Value:0, Discovered faults:{'97_s-a-1'} 
Wire:100, Value:1, Discovered faults:{'100_s-a-0'} 
Wire:103, Value:0, Discovered faults:{'103_s-a-1'} 
Wire:106, Value:1, Discovered faults:{'106_s-a-0'} 
Wire:109, Value:1, Discovered faults:{'109_s-a-0'} 
Wire:110, Value:1, Discovered faults:{'110_s-a-0'} 
Wire:111, Value:1, Discovered faults:{'111_s-a-0'} 
Wire:112, Value:1, Discovered faults:{'112_s-a-0'} 
Wire:113, Value:0, Discovered faults:{'113_s-a-1'} 
Wire:114, Value:1, Discovered faults:{'114_s-a-0'} 
Wire:115, Value:0, Discovered faults:{'115_s-a-1'} 
Wire:118, Value:0, Discovered faults:{'118_s-a-1'} 
Wire:121, Value:0, Discovered faults:{'121_s-a-1'} 
Wire:124, Value:1, Discovered faults:{'124_s-a-0'} 
Wire:127, Value:0, Discovered faults:{'127_s-a-1'} 
Wire:130, Value:1, Discovered faults:{'130_s-a-0'} 
Wire:133, Value:0, Discovered faults:{'133_s-a-1'} 
Wire:134, Value:0, Discovered faults:{'134_s-a-1'} 
Wire:135, Value:1, Discovered faults:{'135_s-a-0'} 
Wire:138, Value:0, Discovered faults:{'138_s-a-1'} 
Wire:141, Value:1, Discovered faults:{'141_s-a-0'} 
Wire:144, Value:1, Discovered faults:{'144_s-a-0'} 
Wire:147, Value:0, Discovered faults:{'147_s-a-1'} 
Wire:150, Value:0, Discovered faults:{'150_s-a-1'} 
Wire:151, Value:1, Discovered faults:{'151_s-a-0'} 
Wire:152, Value:1, Discovered faults:{'152_s-a-0'} 
Wire:153, Value:0, Discovered faults:{'153_s-a-1'} 
Wire:154, Value:1, Discovered faults:{'154_s-a-0'} 
Wire:155, Value:0, Discovered faults:{'155_s-a-1'} 
Wire:156, Value:0, Discovered faults:{'156_s-a-1'} 
Wire:157, Value:1, Discovered faults:{'157_s-a-0'} 
Wire:158, Value:1, Discovered faults:{'158_s-a-0'} 
Wire:159, Value:1, Discovered faults:{'159_s-a-0'} 
Wire:160, Value:1, Discovered faults:{'160_s-a-0'} 
Wire:161, Value:0, Discovered faults:{'161_s-a-1'} 
Wire:162, Value:0, Discovered faults:{'162_s-a-1'} 
Wire:163, Value:1, Discovered faults:{'163_s-a-0'} 
Wire:164, Value:0, Discovered faults:{'164_s-a-1'} 
Wire:165, Value:1, Discovered faults:{'165_s-a-0'} 
Wire:166, Value:0, Discovered faults:{'166_s-a-1'} 
Wire:167, Value:1, Discovered faults:{'167_s-a-0'} 
Wire:168, Value:0, Discovered faults:{'168_s-a-1'} 
Wire:169, Value:0, Discovered faults:{'169_s-a-1'} 
Wire:170, Value:1, Discovered faults:{'170_s-a-0'} 
Wire:171, Value:0, Discovered faults:{'171_s-a-1'} 
Wire:172, Value:1, Discovered faults:{'172_s-a-0'} 
Wire:173, Value:0, Discovered faults:{'173_s-a-1'} 
Wire:174, Value:1, Discovered faults:{'174_s-a-0'} 
Wire:175, Value:1, Discovered faults:{'175_s-a-0'} 
Wire:176, Value:0, Discovered faults:{'176_s-a-1'} 
Wire:177, Value:0, Discovered faults:{'177_s-a-1'} 
Wire:178, Value:1, Discovered faults:{'178_s-a-0'} 
Wire:179, Value:0, Discovered faults:{'179_s-a-1'} 
Wire:180, Value:0, Discovered faults:{'180_s-a-1'} 
Wire:181, Value:0, Discovered faults:{'181_s-a-1'} 
Wire:182, Value:0, Discovered faults:{'182_s-a-1'} 
Wire:183, Value:0, Discovered faults:{'183_s-a-1'} 
Wire:184, Value:1, Discovered faults:{'184_s-a-0'} 
Wire:185, Value:0, Discovered faults:{'185_s-a-1'} 
Wire:186, Value:0, Discovered faults:{'186_s-a-1'} 
Wire:187, Value:1, Discovered faults:{'187_s-a-0'} 
Wire:188, Value:1, Discovered faults:{'188_s-a-0'} 
Wire:189, Value:0, Discovered faults:{'189_s-a-1'} 
Wire:190, Value:1, Discovered faults:{'190_s-a-0'} 
Wire:191, Value:1, Discovered faults:{'191_s-a-0'} 
Wire:192, Value:1, Discovered faults:{'192_s-a-0'} 
Wire:193, Value:0, Discovered faults:{'193_s-a-1'} 
Wire:194, Value:0, Discovered faults:{'194_s-a-1'} 
Wire:195, Value:1, Discovered faults:{'195_s-a-0'} 
Wire:196, Value:1, Discovered faults:{'196_s-a-0'} 
Wire:197, Value:0, Discovered faults:{'197_s-a-1'} 
Wire:198, Value:0, Discovered faults:{'198_s-a-1'} 
Wire:199, Value:1, Discovered faults:{'199_s-a-0'} 
Wire:200, Value:1, Discovered faults:{'200_s-a-0'} 
Wire:201, Value:1, Discovered faults:{'201_s-a-0'} 
Wire:202, Value:0, Discovered faults:{'202_s-a-1'} 
Wire:203, Value:1, Discovered faults:{'203_s-a-0'} 
Wire:204, Value:1, Discovered faults:{'204_s-a-0'} 
Wire:205, Value:0, Discovered faults:{'205_s-a-1'} 
Wire:206, Value:0, Discovered faults:{'206_s-a-1'} 
Wire:207, Value:0, Discovered faults:{'207_s-a-1'} 
Wire:208, Value:1, Discovered faults:{'208_s-a-0'} 
Wire:209, Value:0, Discovered faults:{'209_s-a-1'} 
Wire:210, Value:1, Discovered faults:{'210_s-a-0'} 
Wire:211, Value:0, Discovered faults:{'211_s-a-1'} 
Wire:212, Value:0, Discovered faults:{'212_s-a-1'} 
Wire:213, Value:1, Discovered faults:{'213_s-a-0'} 
Wire:214, Value:1, Discovered faults:{'214_s-a-0'} 
Wire:215, Value:0, Discovered faults:{'215_s-a-1'} 
Wire:216, Value:0, Discovered faults:{'216_s-a-1'} 
Wire:217, Value:0, Discovered faults:{'217_s-a-1'} 
Wire:218, Value:0, Discovered faults:{'218_s-a-1'} 
Wire:219, Value:0, Discovered faults:{'219_s-a-1'} 
Wire:220, Value:1, Discovered faults:{'220_s-a-0'} 
Wire:221, Value:1, Discovered faults:{'221_s-a-0'} 
Wire:222, Value:1, Discovered faults:{'222_s-a-0'} 
Wire:223, Value:1, Discovered faults:{'223_s-a-0'} 
Wire:224, Value:1, Discovered faults:{'224_s-a-0'} 
Wire:225, Value:1, Discovered faults:{'225_s-a-0'} 
Wire:226, Value:1, Discovered faults:{'226_s-a-0'} 
Wire:227, Value:1, Discovered faults:{'227_s-a-0'} 
Wire:228, Value:1, Discovered faults:{'228_s-a-0'} 
Wire:229, Value:0, Discovered faults:{'229_s-a-1'} 
Wire:230, Value:1, Discovered faults:{'230_s-a-0'} 
Wire:231, Value:1, Discovered faults:{'231_s-a-0'} 
Wire:232, Value:1, Discovered faults:{'232_s-a-0'} 
Wire:233, Value:0, Discovered faults:{'233_s-a-1'} 
Wire:234, Value:0, Discovered faults:{'234_s-a-1'} 
Wire:235, Value:0, Discovered faults:{'235_s-a-1'} 
Wire:236, Value:1, Discovered faults:{'236_s-a-0'} 
Wire:237, Value:1, Discovered faults:{'237_s-a-0'} 
Wire:238, Value:1, Discovered faults:{'238_s-a-0'} 
Wire:239, Value:1, Discovered faults:{'239_s-a-0'} 
Wire:240, Value:0, Discovered faults:{'240_s-a-1'} 
Wire:241, Value:1, Discovered faults:{'241_s-a-0'} 
Wire:242, Value:1, Discovered faults:{'242_s-a-0'} 
Wire:245, Value:1, Discovered faults:{'245_s-a-0'} 
Wire:248, Value:1, Discovered faults:{'248_s-a-0'} 
Wire:251, Value:0, Discovered faults:{'251_s-a-1'} 
Wire:254, Value:1, Discovered faults:{'254_s-a-0'} 
Wire:257, Value:1, Discovered faults:{'257_s-a-0'} 
Wire:260, Value:0, Discovered faults:{'260_s-a-1'} 
Wire:263, Value:1, Discovered faults:{'263_s-a-0'} 
Wire:267, Value:1, Discovered faults:{'267_s-a-0'} 
Wire:271, Value:1, Discovered faults:{'271_s-a-0'} 
Wire:274, Value:1, Discovered faults:{'274_s-a-0'} 
Wire:277, Value:1, Discovered faults:{'277_s-a-0'} 
Wire:280, Value:1, Discovered faults:{'280_s-a-0'} 
Wire:283, Value:1, Discovered faults:{'283_s-a-0'} 
Wire:286, Value:1, Discovered faults:{'286_s-a-0'} 
Wire:289, Value:1, Discovered faults:{'289_s-a-0'} 
Wire:293, Value:1, Discovered faults:{'293_s-a-0'} 
Wire:296, Value:1, Discovered faults:{'296_s-a-0'} 
Wire:299, Value:1, Discovered faults:{'299_s-a-0'} 
Wire:303, Value:1, Discovered faults:{'303_s-a-0'} 
Wire:307, Value:1, Discovered faults:{'307_s-a-0'} 
Wire:310, Value:1, Discovered faults:{'310_s-a-0'} 
Wire:313, Value:0, Discovered faults:{'313_s-a-1'} 
Wire:316, Value:0, Discovered faults:{'316_s-a-1'} 
Wire:319, Value:1, Discovered faults:{'319_s-a-0'} 
Wire:322, Value:0, Discovered faults:{'322_s-a-1'} 
Wire:325, Value:0, Discovered faults:{'325_s-a-1'} 
Wire:328, Value:1, Discovered faults:{'328_s-a-0'} 
Wire:331, Value:1, Discovered faults:{'331_s-a-0'} 
Wire:334, Value:1, Discovered faults:{'334_s-a-0'} 
Wire:337, Value:0, Discovered faults:{'337_s-a-1'} 
Wire:340, Value:0, Discovered faults:{'340_s-a-1'} 
