Wire:1, Value:0, Discovered faults:{'1_s-a-1'} 
Wire:8, Value:0, Discovered faults:{'8_s-a-1'} 
Wire:13, Value:1, Discovered faults:{'13_s-a-0'} 
Wire:17, Value:1, Discovered faults:{'17_s-a-0'} 
Wire:26, Value:0, Discovered faults:{'26_s-a-1'} 
Wire:29, Value:0, Discovered faults:{'29_s-a-1'} 
Wire:36, Value:1, Discovered faults:{'36_s-a-0'} 
Wire:42, Value:1, Discovered faults:{'42_s-a-0'} 
Wire:51, Value:0, Discovered faults:{'51_s-a-1'} 
Wire:55, Value:1, Discovered faults:{'55_s-a-0'} 
Wire:59, Value:1, Discovered faults:{'59_s-a-0'} 
Wire:68, Value:1, Discovered faults:{'68_s-a-0'} 
Wire:72, Value:1, Discovered faults:{'72_s-a-0'} 
Wire:73, Value:1, Discovered faults:{'73_s-a-0'} 
Wire:74, Value:0, Discovered faults:{'74_s-a-1'} 
Wire:75, Value:1, Discovered faults:{'75_s-a-0'} 
Wire:80, Value:1, Discovered faults:{'80_s-a-0'} 
Wire:85, Value:0, Discovered faults:{'85_s-a-1'} 
Wire:86, Value:1, Discovered faults:{'86_s-a-0'} 
Wire:87, Value:0, Discovered faults:{'87_s-a-1'} 
Wire:88, Value:0, Discovered faults:{'88_s-a-1'} 
Wire:89, Value:0, Discovered faults:{'89_s-a-1'} 
Wire:90, Value:1, Discovered faults:{'90_s-a-0'} 
Wire:91, Value:1, Discovered faults:{'91_s-a-0'} 
Wire:96, Value:0, Discovered faults:{'96_s-a-1'} 
Wire:101, Value:0, Discovered faults:{'101_s-a-1'} 
Wire:106, Value:1, Discovered faults:{'106_s-a-0'} 
Wire:111, Value:0, Discovered faults:{'111_s-a-1'} 
Wire:116, Value:0, Discovered faults:{'116_s-a-1'} 
Wire:121, Value:1, Discovered faults:{'121_s-a-0'} 
Wire:126, Value:0, Discovered faults:{'126_s-a-1'} 
Wire:130, Value:1, Discovered faults:{'130_s-a-0'} 
Wire:135, Value:1, Discovered faults:{'135_s-a-0'} 
Wire:138, Value:0, Discovered faults:{'138_s-a-1'} 
Wire:143, Value:1, Discovered faults:{'143_s-a-0'} 
Wire:146, Value:1, Discovered faults:{'146_s-a-0'} 
Wire:149, Value:1, Discovered faults:{'149_s-a-0'} 
Wire:152, Value:1, Discovered faults:{'152_s-a-0'} 
Wire:153, Value:1, Discovered faults:{'153_s-a-0'} 
Wire:156, Value:0, Discovered faults:{'156_s-a-1'} 
Wire:159, Value:1, Discovered faults:{'159_s-a-0'} 
Wire:165, Value:1, Discovered faults:{'165_s-a-0'} 
Wire:171, Value:0, Discovered faults:{'171_s-a-1'} 
Wire:177, Value:0, Discovered faults:{'177_s-a-1'} 
Wire:183, Value:0, Discovered faults:{'183_s-a-1'} 
Wire:189, Value:1, Discovered faults:{'189_s-a-0'} 
Wire:195, Value:0, Discovered faults:{'195_s-a-1'} 
Wire:201, Value:0, Discovered faults:{'201_s-a-1'} 
Wire:207, Value:0, Discovered faults:{'207_s-a-1'} 
Wire:210, Value:0, Discovered faults:{'210_s-a-1'} 
Wire:219, Value:1, Discovered faults:{'219_s-a-0'} 
Wire:228, Value:0, Discovered faults:{'228_s-a-1'} 
Wire:237, Value:0, Discovered faults:{'237_s-a-1'} 
Wire:246, Value:0, Discovered faults:{'246_s-a-1'} 
Wire:255, Value:1, Discovered faults:{'255_s-a-0'} 
Wire:259, Value:0, Discovered faults:{'259_s-a-1'} 
Wire:260, Value:1, Discovered faults:{'260_s-a-0'} 
Wire:261, Value:0, Discovered faults:{'261_s-a-1'} 
Wire:267, Value:1, Discovered faults:{'267_s-a-0'} 
Wire:268, Value:1, Discovered faults:{'268_s-a-0'} 
Wire:297, Value:0, Discovered faults:{'297_s-a-1', '85_s-a-1'} 
Wire:298, Value:0, Discovered faults:{'88_s-a-1', '87_s-a-1', '298_s-a-1'} 
Wire:310, Value:0, Discovered faults:{'310_s-a-1', '268_s-a-0'} 
Wire:1_1, Value:0, Discovered faults:{'1_1_s-a-1', '1_s-a-1'} 
Wire:1_2, Value:0, Discovered faults:{'1_2_s-a-1', '1_s-a-1'} 
Wire:1_3, Value:0, Discovered faults:{'1_s-a-1', '1_3_s-a-1'} 
Wire:1_4, Value:0, Discovered faults:{'1_4_s-a-1', '1_s-a-1'} 
Wire:1_5, Value:0, Discovered faults:{'1_5_s-a-1', '1_s-a-1'} 
Wire:1_6, Value:0, Discovered faults:{'1_s-a-1', '1_6_s-a-1'} 
Wire:8_1, Value:0, Discovered faults:{'8_s-a-1', '8_1_s-a-1'} 
Wire:8_2, Value:0, Discovered faults:{'8_2_s-a-1', '8_s-a-1'} 
Wire:8_3, Value:0, Discovered faults:{'8_s-a-1', '8_3_s-a-1'} 
Wire:8_4, Value:0, Discovered faults:{'8_s-a-1', '8_4_s-a-1'} 
Wire:13_1, Value:1, Discovered faults:{'13_s-a-0', '13_1_s-a-0'} 
Wire:13_2, Value:1, Discovered faults:{'13_s-a-0', '13_2_s-a-0'} 
Wire:13_3, Value:1, Discovered faults:{'13_s-a-0', '13_3_s-a-0'} 
Wire:17_1, Value:1, Discovered faults:{'17_1_s-a-0', '17_s-a-0'} 
Wire:17_2, Value:1, Discovered faults:{'17_s-a-0', '17_2_s-a-0'} 
Wire:17_3, Value:1, Discovered faults:{'17_s-a-0', '17_3_s-a-0'} 
Wire:17_4, Value:1, Discovered faults:{'17_s-a-0', '17_4_s-a-0'} 
Wire:17_5, Value:1, Discovered faults:{'17_s-a-0', '17_5_s-a-0'} 
Wire:17_6, Value:1, Discovered faults:{'17_6_s-a-0', '17_s-a-0'} 
Wire:17_7, Value:1, Discovered faults:{'17_7_s-a-0', '17_s-a-0'} 
Wire:17_8, Value:1, Discovered faults:{'17_8_s-a-0', '17_s-a-0'} 
Wire:26_1, Value:0, Discovered faults:{'26_s-a-1', '26_1_s-a-1'} 
Wire:26_2, Value:0, Discovered faults:{'26_s-a-1', '26_2_s-a-1'} 
Wire:29_1, Value:0, Discovered faults:{'29_s-a-1', '29_1_s-a-1'} 
Wire:29_2, Value:0, Discovered faults:{'29_s-a-1', '29_2_s-a-1'} 
Wire:29_3, Value:0, Discovered faults:{'29_s-a-1', '29_3_s-a-1'} 
Wire:29_4, Value:0, Discovered faults:{'29_s-a-1', '29_4_s-a-1'} 
Wire:29_5, Value:0, Discovered faults:{'29_5_s-a-1', '29_s-a-1'} 
Wire:29_6, Value:0, Discovered faults:{'29_s-a-1', '29_6_s-a-1'} 
Wire:36_1, Value:1, Discovered faults:{'36_s-a-0', '36_1_s-a-0'} 
Wire:36_2, Value:1, Discovered faults:{'36_s-a-0', '36_2_s-a-0'} 
Wire:36_3, Value:1, Discovered faults:{'36_3_s-a-0', '36_s-a-0'} 
Wire:36_4, Value:1, Discovered faults:{'36_4_s-a-0', '36_s-a-0'} 
Wire:36_5, Value:1, Discovered faults:{'36_s-a-0', '36_5_s-a-0'} 
Wire:42_1, Value:1, Discovered faults:{'42_s-a-0', '42_1_s-a-0'} 
Wire:42_2, Value:1, Discovered faults:{'42_s-a-0', '42_2_s-a-0'} 
Wire:42_3, Value:1, Discovered faults:{'42_s-a-0', '42_3_s-a-0'} 
Wire:42_4, Value:1, Discovered faults:{'42_s-a-0', '42_4_s-a-0'} 
Wire:42_5, Value:1, Discovered faults:{'42_s-a-0', '42_5_s-a-0'} 
