test vector,4_s-a-1,2_s-a-1,5_s-a-0,7_s-a-0,1_s-a-0,5_2_s-a-0,3_s-a-0,5_2_s-a-1,1_s-a-1,7_s-a-1,8_s-a-1,4_s-a-0,3_s-a-1,8_s-a-0,5_s-a-1,5_1_s-a-0,6_s-a-1,2_s-a-0,5_1_s-a-1,6_s-a-0
0000,,,,,,,,,,,✓,,,,✓,,,,,
0001,,,,,,,,,✓,,✓,,,,✓,,✓,,✓,
0010,,✓,,,,,,,,,✓,,,,✓,,,,,
0011,,✓,,,,,,,✓,,✓,,,,✓,,✓,,✓,
0100,,,,,,,,,,,✓,,✓,,✓,,,,,
0101,,,,,,,,,✓,,✓,,✓,,✓,,✓,,✓,
0110,,,✓,✓,,✓,✓,,,,,,,✓,,✓,,✓,,✓
0111,,,✓,✓,,,✓,,,,,,,✓,,✓,,✓,,✓
1000,✓,,,,,,,✓,,✓,✓,,,,✓,,,,,
1001,,,,✓,✓,,,,,,,✓,,✓,,,,,,✓
1010,✓,✓,,,,,,✓,,✓,✓,,,,✓,,,,,
1011,,,,✓,✓,,,,,,,✓,,✓,,,,,,✓
1100,✓,,,,,,,✓,,✓,✓,,✓,,✓,,,,,
1101,,,,✓,✓,,,,,,,✓,,✓,,,,,,✓
1110,,,✓,✓,,✓,✓,,,,,,,✓,,,,✓,,✓
1111,,,,✓,,,,,,,,,,✓,,,,,,✓
