test vector,6_s-a-0,13_1_s-a-1,4_s-a-1,8_2_s-a-1,11_s-a-0,13_s-a-0,10_s-a-0,4_1_s-a-0,3_s-a-0,5_s-a-1,12_s-a-1,3_2_s-a-1,1_s-a-1,3_s-a-1,8_1_s-a-0,2_2_s-a-0,7_s-a-0,14_s-a-0,13_1_s-a-0,10_s-a-1,2_s-a-1,17_s-a-0,4_s-a-0,16_s-a-0,12_s-a-0,10_2_s-a-0,10_2_s-a-1,3_2_s-a-0,14_s-a-1,8_1_s-a-1,4_1_s-a-1,2_1_s-a-1,14_2_s-a-1,3_1_s-a-1,4_2_s-a-1,8_s-a-0,8_2_s-a-0,2_s-a-0,8_s-a-1,11_s-a-1,17_s-a-1,9_s-a-1,15_s-a-0,15_s-a-1,2_2_s-a-1,16_s-a-1,10_1_s-a-1,13_2_s-a-1,13_s-a-1,Essential / Not Essential
00000000,,✓,✓,✓,✓,,,,,,,✓,,✓,,,,,,✓,✓,,,,✓,,✓,,✓,✓,✓,,,,,,,,✓,,✓,,✓,,✓,✓,,,✓,Not Essential
00000001,,✓,✓,,✓,,,,,,,✓,,✓,✓,,,✓,,✓,✓,,,,✓,,✓,,,,✓,,,,,✓,✓,,,,✓,,,✓,✓,✓,,✓,✓,Not Essential
00000010,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,✓,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00000011,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,✓,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00000100,✓,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00000101,✓,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00000110,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00000111,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00001000,,✓,✓,✓,✓,,,,,,,✓,,✓,,,,,,✓,✓,,,,✓,,✓,,✓,✓,✓,,,,✓,,,,✓,,✓,,✓,,✓,✓,,,✓,Not Essential
00001001,,✓,✓,,✓,,,,,,,✓,,✓,✓,,,✓,,✓,✓,,,,✓,,✓,,,,✓,,,,✓,✓,✓,,,,✓,,,✓,✓,✓,,✓,✓,Not Essential
00001010,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,✓,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00001011,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,✓,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,✓,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00001100,✓,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00001101,✓,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,✓,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00001110,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00001111,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,✓,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00010000,,✓,,✓,✓,,✓,✓,,✓,,✓,,✓,,,,✓,,,✓,,✓,✓,✓,✓,,,,✓,,,,✓,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,Not Essential
00010001,,✓,,,✓,,✓,✓,,✓,,✓,,✓,✓,,,,,,✓,,✓,✓,✓,✓,,,✓,,,,,✓,,✓,✓,,,,✓,✓,✓,,✓,,,,✓,Not Essential
00010010,,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,,,✓,,,,✓,,✓,,,✓,,,✓,✓,,,,✓,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00010011,,✓,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,✓,✓,,,✓,,✓,,,✓,,,,,,,,✓,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00010100,✓,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,,,,,,,✓,,✓,,,✓,,,✓,✓,,,,✓,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00010101,✓,✓,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,,✓,,,✓,,✓,,,✓,,,,,,,,✓,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00010110,,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,,,,,,,✓,,✓,,,✓,,,✓,✓,,,,✓,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00010111,,✓,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,,✓,,,✓,,✓,,,✓,,,,,,,,✓,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00011000,,✓,,✓,,,✓,✓,,,,✓,,✓,,,,,,,✓,,✓,,✓,✓,,,✓,✓,,,,✓,,,,,✓,✓,✓,✓,✓,,✓,✓,,,✓,Not Essential
00011001,,✓,,,,,✓,✓,,,,✓,,✓,✓,,,✓,,,✓,,✓,,✓,✓,,,,,,,,✓,,✓,✓,,,✓,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00011010,,✓,,✓,,,✓,✓,,,✓,✓,,✓,,,✓,✓,,,✓,,✓,✓,,✓,,,,✓,,,,✓,,,,,✓,✓,✓,✓,,✓,✓,,,✓,✓,Not Essential
00011011,,✓,,,,,✓,✓,,,✓,✓,,✓,✓,,✓,,,,✓,,✓,✓,,✓,,,✓,,,,,✓,,✓,✓,,,✓,✓,✓,✓,,✓,,,,✓,Not Essential
